# order	profile	group	repo	patch	origin	sha256	rationale
1	recommended	core	bionic	patches/bionic/001-gsi-staging-0001-epoll_pwait2-fall-back-to-epoll_pwait-on-kernels-5.1.patch	gsi-staging	5e2768d78240ba8ce01402658f835623df5602050d9e131374f021caa79ae0d7	Fallback epoll_pwait2 on old kernels
2	recommended	core	bionic	patches/bionic/002-gsi-staging-0002-make-property-area-init-failures-non-fatal-for-old-v.patch	gsi-staging	13c4ef7c5266ab3b924c86f47f4057a515450e8b9a2f59f7d149913a08de34f2	Avoid fatal property-area initialization on old vendor layouts
3	recommended	core	bionic	patches/bionic/003-gsi-staging-0003-bionic-tolerate-MADV_WIPEONFORK-failure-on-pre-4.14-.patch	gsi-staging	e8f473c232400de9dbcd25a259f252f77a034a0737bbd05ab94c1c99eefe449d	Tolerate missing MADV_WIPEONFORK
4	recommended	core	bionic	patches/bionic/004-legacy23-0001-linker-partially-allow-text-relocations.patch	legacy23	1cdb008fb79218c63c7e571a1016a3063f53152179b0d7b810e6b301734d6a69	Permit legacy Samsung blobs with text relocations
5	recommended	core	frameworks/base	patches/frameworks/base/005-gsi-0039-Ignore-cgroup-creation-errors.patch	gsi	e17a04d6f49eb5081da5d34bacb3d1963699105a4b5baed973ef6a8b7beab375	Do not crash system_server on cgroup creation errors
6	recommended	core	frameworks/base	patches/frameworks/base/006-gsi-0055-Not-all-kernel-support-splicing-pipes-or-is-it-socke.patch	gsi	f759f509eb8716ceac87519caf748fb3516451bf9ff7d84ccbec14ce99e34fc9	Fallback when splice is unavailable
7	recommended	core	frameworks/base	patches/frameworks/base/007-legacy23-0001-Disable-fs-verity-as-3.18-doesn-t-support-it.patch	legacy23	0061636a349d3c340bd3563c6ac3eea3f49c4a27744d36b753f56ea403b10fe3	Disable fs-verity for pre-3.18 kernels
8	recommended	graphics	frameworks/base	patches/frameworks/base/008-legacy23-0006-hwui-return-to-ashmem.patch	legacy23	cbb261ae2fa2ac198cad997a118a3892b331ecdbc91acfb2afad6eb893597530	Restore ashmem-backed HWUI paths
9	recommended	core	frameworks/native	patches/frameworks/native/009-gsi-0012-Disable-gpuservice-on-old-BPF-less-kernel.patch	gsi	3f813628300c129cd8704455224a211778028c08bcd82b87ce525da2bc69f7f0	Disable GPU service unsupported by old/BPF-less kernels
10	recommended	graphics	frameworks/native	patches/frameworks/native/010-gsi-staging-0003-Stall-GpuWork-on-kernels-without-gpu_work_period-tra.patch	gsi-staging	0f3619d6299bb59e22b049983ffaee1afaa75bd507856ff2fbac46505a4f09c3	Avoid gpu_work_period tracepoint dependency
11	recommended	core	frameworks/native	patches/frameworks/native/011-legacy23-0007-libbinder-make-threadpool-shrinking-non-fatal.patch	legacy23	4d70ad78088202799fe10e4715660a9f1d104871df5aa126c67cdf0c350a3b0b	Make Binder threadpool shrinking non-fatal
12	recommended	graphics	frameworks/native	patches/frameworks/native/012-legacy23-0001-Revert-Delete-genTextures-and-deleteTextures-from-Re.patch	legacy23	49365748bcbd83be13e5c3330900c5769241039fb3c4a7e6baa9299c38dc01a6	Restore legacy GLES RenderEngine texture APIs
13	recommended	graphics	frameworks/native	patches/frameworks/native/013-legacy23-0002-Revert-Remove-useFramebufferCache-parameter-in-drawL.patch	legacy23	567c68b6106c0ce0747104b3ab9ae324eb80097a38ebedf919df6731703ec02d	Restore framebuffer-cache path
14	recommended	graphics	frameworks/native	patches/frameworks/native/014-legacy23-0003-Forward-port-GLES-Render-Engine-to-16-QPR2.patch	legacy23	b5193abf8c4dcfcbe1dc043788e9712d599e705874e248308a1c8c29aefc677c	Forward-port GLES RenderEngine for legacy GPUs
15	recommended	graphics	frameworks/native	patches/frameworks/native/015-legacy23-0004-renderengine-gles-unconditionally-skip-PostRenderCle.patch	legacy23	92123ae4ee33a7d2417d317f84ca9de9a7317fdcf90aae12fd2de526ef342a4b	Avoid unsupported GLES cleanup
16	recommended	graphics	frameworks/native	patches/frameworks/native/016-legacy23-0005-renderengine-gles-Fix-QPR2-build-errors.patch	legacy23	2a1c7b40e6dd0650ff138b7e95be1e44453762089bec9499e8c3a364f328acce	Fix GLES RenderEngine build
17	recommended	graphics	frameworks/native	patches/frameworks/native/017-legacy23-0006-surfaceflinger-remove-display_intf_headers-dependenc.patch	legacy23	782596e54de93109c5051ab7ae168f0bffa5c85f79b5b2baf5d915fe4dfdb7ee	Remove unavailable display_intf dependency
18	recommended	graphics	frameworks/native	patches/frameworks/native/018-legacy23-0008-renderengine-compilation-fixes-for-16-QPR1.patch	legacy23	eaa78e86afe3c2140bc22e27ed7ce9b371c6807a64e300244c1a86183c3e0896	Additional RenderEngine compilation fixes
19	recommended	graphics	frameworks/native	patches/frameworks/native/019-legacy23-0009-SF-Bring-back-support-for-disabling-backpressure-pro.patch	legacy23	1d14c7be3a52a538d694100813cca700f7fba89fc9ad26fc59ac84c19f887897	Restore SurfaceFlinger backpressure property
20	recommended	core	system/apex	patches/system/apex/020-gsi-0001-Disable-O_DIRECT-for-old-kernels.patch	gsi	96872760d8dd1e3da65a18ba18f9c80e948f1bfee9a56d2e75a33c2d7f921a28	Avoid O_DIRECT on old kernels
22	recommended	core	system/core	patches/system/core/022-gsi-0017-Ignore-dm-verity-setup-issues.patch	gsi	d9a55c7a1ccd650eb28c1564bb555d3375ce0e4935823ca350fbc5f1efc47497	Do not block boot on dm-verity setup failure
23	recommended	core	system/core	patches/system/core/023-gsi-0018-Fix-support-for-devices-without-cgroupv2-support.patch	gsi	213d545804f6d25d820033b1b7db35ddf289a6beb131d514937b8ba7ea4e463c	Allow services when cgroup v2 is unavailable
